trial #,trial cups,trial moves,cup speed,Correct/Incorrect,time to response,
9,2,10,1.25,Correct,1.993111,
10,2,10,1.25,Incorrect,1.387733,
10,2,10,1.25,Incorrect,2.697917,
1,2,10,1.25,Incorrect,1.465028,
2,3,1,0.75,Correct,1.369771,
3,2,10,1.25,Incorrect,0.952041,
4,2,10,1.25,Incorrect,1.075747,
5,2,10,1.25,Incorrect,3.66677,
6,2,10,1.25,Correct,2.162533,
7,2,10,1.25,Correct,1.18114,
8,2,10,1.25,Incorrect,1.061033,
9,2,10,1.25,Incorrect,1.197816,
1,2,10,1.25,Incorrect,1.769526,
2,3,1,0.75,Incorrect,1.769265,
3,2,1,0.75,Correct,1.444978,
3,2,1,0.75,Correct,1.377355,
1,2,10,1.25,Incorrect,1.314208,
2,3,1,0.75,Correct,1.248022,
3,3,1,0.75,Correct,1.474139,
3,3,1,0.75,Correct,2.389216,
1,2,10,1.25,Correct,1.18913,
2,3,1,0.75,Correct,0.931184,
3,3,1,0.75,Correct,0.988421,
1,2,10,1.25,Correct,2.160939,
2,3,1,0.75,Correct,1.02294,
3,3,1,0.75,Correct,0.608826,
1,2,10,1.25,Correct,1.49585,
2,3,1,0.75,Correct,0.715792,
3,3,1,0.75,Correct,1.124404,
3,3,1,0.75,Correct,1.159821,
3,3,1,0.75,Correct,1.586168,
1,2,10,1.25,Incorrect,1.187459,
2,3,1,0.75,Correct,0.838537,
3,3,1,0.75,Correct,0.70776,
